win_rate,total_pnl,total_profit,total_loss,profit_factor,trade_count,market_count,closed_count,address
0.7441860465116279,1795.3761639617867,2463.731185752217,668.3550217904303,3.6862612016473264,180,82,43,0x2c84557d17d6336fa56646680e9257d924db2c7e
0.7368421052631579,-4703.955366822221,1975.912442229851,6679.867809052072,0.2958011294104111,200,139,19,0xcb11a9e63608bed1bf258e6b7645c8d8877ee93f
0.7333333333333333,108.49678203195457,130.4737580493336,21.97697601737905,5.936838532569585,94,32,15,0x1a250775be4fa4de8347d745ae5e56ecbcbad5e8
0.7272727272727273,1676.130033206693,1882.3521435902749,206.23065871249685,9.127411779324405,200,38,11,0xf501ffd866ccdaa8c09002b3167d532bfe668852
0.7272727272727273,1126.88496191687,1210.8770719672993,83.99211005042946,14.416557355688292,200,99,11,0xb36c6bc4878e72778ea7b31891962feaa9118715
0.7272727272727273,508.61559057199037,660.6428960155964,152.02730544360605,4.345554202173631,200,73,11,0x3f3bfc6d754e416699793901ffb12ddeee9f1d77
0.7272727272727273,73.77189980258262,84.78127920762114,11.009379405038533,7.700822733824605,42,21,11,0x50701d11c85d83f5f0e9c4d9d3b37935b9fa911f
0.7142857142857143,18118.44819895935,18582.801094373426,464.3528954140756,40.018704045772466,99,10,7,0x1674ede0831483f2eb7b1d26dcf4314e70d6e771
0.7142857142857143,371.8720259321778,475.74785521002997,103.87582927785218,4.579966855787752,97,75,7,0xa4dc94f69e6fcf7ccdcba83a8265505706ae0da7
0.7142857142857143,195.15797333333344,297.1579733333334,102.0,2.913313464052288,89,51,7,0x3e6371d30cf9fb4642e4aa9151133133acab9313
0.7142857142857143,126.09886453599626,174.30374947905796,48.2048849430617,3.615893901311886,125,30,7,0x17c886bcf7079815930b8164d4e316b62a731af0
0.7142857142857143,14.29269613944399,72.38483946466414,58.09214332522015,1.2460349252295353,26,19,7,0x3faf53e0cad36a4aa8aa29647473447b56eea785
0.7083333333333334,76.80834103200328,94.14086904992261,17.33252801791932,5.431456331851569,200,77,24,0xd4231d77c680681be8b41a71276dec2dd1669c16
0.7083333333333334,15.670520832220397,26.944760714706785,11.274240332109173,2.389940246170536,200,110,24,0xe85607bf3eddcc3f7cff16671695f5e96bba3789
0.7058823529411765,1854.1136197776177,3072.1933296539028,1218.079709876285,2.522161156404068,200,55,17,0x78cf31f366d9dbb90fec31a0f9302bb8270e4816
0.7037037037037037,325.025814507138,529.7653384872374,204.73952398009948,2.587508890265517,122,66,27,0x61d882cc367cb2fe24d7fb7f39aef4ac2ccf9c51
0.7,49147.4321379528,51752.20288520341,2604.7707472506163,19.868237133662845,200,72,20,0x11fcbba836d927c5fe6e6a6a64c9c0461e33dc48
0.7,106.01645128816918,125.13962672435433,19.12317543618514,6.543872754917229,47,32,10,0x7ca18226698b7489afa29c71259d3b852a36d9cc
0.6923076923076923,-1965.549351719999,1545.1711222640638,3510.7204739840627,0.4401293505747442,200,72,26,0x71edffd0d70a1da823ff07a3c6fc81457294d338
0.6875,331.5388625881813,688.5308578054178,356.9919952172364,1.9287011110331302,200,35,16,0x07ce9ebf00784838efe58de709be25fa9a7f3c44
0.6875,170.73242144823766,397.215180638915,226.48275919067743,1.7538429064461227,200,47,16,0x0dde1b35552efae5aa3759aedb6fa7b2d6f594c3
0.6842105263157895,2079.267882092555,3896.4169230501584,1817.149040957604,2.1442472990530366,200,31,19,0x0be0a891059b09df3dd74409732c3232954fd115
0.68,-86.25760192586056,165.21048571567354,251.4680876415341,0.6569839030675728,200,113,50,0x02b8f0e8642e4ae0af25e5f30ef2fc311200ff77
0.675,-210.19977087099085,688.339690033655,898.5394609046461,0.7660650644554188,153,63,40,0xc7d5b3deae29e3b9b86d4b5bec00d3aaff6479cc
0.6666666666666666,13103.159817425792,17349.221152470738,4246.061335044945,4.085956321280294,200,52,9,0x88037e854213c72c6d900af1473d49faac01eb1d
0.6666666666666666,4469.358462869076,5432.951379891955,963.5929170228792,5.638222618611213,69,33,3,0xa5c5d8fc1bbdc3962ffd0ab5c39f210a5394a736
0.6666666666666666,692.1012987928427,708.2124987928428,16.111200000000004,43.95777464079911,108,52,3,0x35784d1bed0d4392ee49c21ca581cb39a952804f
0.6666666666666666,587.3340412944747,764.2234393794377,176.88939808496315,4.32034620306847,47,31,12,0xe3f7ed9156a9b3a7755474f52e07aac8cebc15fe
0.6666666666666666,416.8034377100553,1010.8994800000037,594.0960422899484,1.7015758531288692,23,14,3,0xa1311e8dcf35bd3f0f3ad0949582862b3ce4dde2
0.6666666666666666,217.37767831725688,355.0781783172569,137.70050000000003,2.5786266449087463,43,13,6,0x30373a95853160a7ad4148912d9922d2969c3e7e
0.6666666666666666,79.922765938535,98.68276593853497,18.759999999999977,5.260275369857947,13,8,3,0x0571cd1a27bac872da69b4de787ff61bb5c7fb66
0.6666666666666666,56.36161396329718,76.41610817489891,20.05449421160172,3.8104231085863756,29,14,3,0xaf6df822deb911a0003375ae7a3d33b8d7e222a0
0.6666666666666666,49.11740102299209,65.03540102299209,15.918,4.085651528018099,25,19,3,0xfda25871a79f6392a98fb6e979601cd8958d48cd
0.6666666666666666,42.48576242470854,46.42558148975528,3.9398190650467377,11.783683647209454,23,20,3,0x92f40078d882a5e6b8f8ff83d06ae41dffda76fc
0.6666666666666666,-1.7807500000000012,1.3919999999999992,3.17275,0.4387361122054997,28,20,3,0x11b97f793ba8c8c9236adb4acce5aa7f7a339a30
0.6666666666666666,-865.3395957616198,703.6786595625819,1569.018255324202,0.44848341131453734,200,58,12,0x5b9115312cb4fc2b2b57c65045e611092f222709
0.6666666666666666,-975.297293229144,487.68240655085685,1462.9796997800008,0.3333487174320965,52,20,3,0xb4a4d559c553bb583199dc833efeaca65d9fdc8f
0.6666666666666666,-1350.8644237405833,194.92725977170664,1545.79168351229,0.12610189448606698,123,99,12,0x3cf87457302dd86d7ad32475dbe701c80225843a
0.6666666666666666,-1791.3618739823014,309.13967601769855,2100.50155,0.14717421942283193,200,80,3,0x9ac5c8496bc84f642bac181499bf64405a5c6a3d
0.6470588235294118,736.7291835089551,876.7419692957656,140.0127857868105,6.261870759651413,116,29,17,0xce5fcb7940135fa07628b26f71a48ed31ff91912
0.6428571428571429,235.6538487138713,467.9426886792693,232.28883996539793,2.0144863125967425,200,51,14,0x84d7b7a1d571534fbad757dfafdf9e604726298f
0.6428571428571429,-13027.172341917498,6581.984112820151,19609.15645473765,0.335658707604932,74,26,14,0xdfc983d8c361103661167a59df7bb1e8059e7552
0.6388888888888888,4061.4846134274276,8397.033506601012,4335.548893173583,1.936786716861232,200,55,36,0x066a7727f53124db18aa963f900bb95b36f7550d
0.6363636363636364,1398.6286332128896,6473.91699352623,5075.288360313339,1.2755761907342231,200,16,11,0xa4da7cb218c5dcb36666815c6aa043890fa82db1
0.6363636363636364,203.95796117444905,205.2660545543369,1.3134125790891886,156.28452005285547,111,60,11,0x2557978ef33474b18be2e9d678697f525838dd37
0.6363636363636364,145.48455144822907,221.41255144822912,75.928,2.9160856528320136,93,26,11,0x31a61770aec2fd17023cbb32dac97f3028371528
0.6363636363636364,-1248.2672771124116,3245.1004736150408,4493.3677507274515,0.7221978377108521,200,72,22,0xf6129c47f5ef4cab25f3aa67b5e3aaac77b15700
0.625,311.6248021978072,424.05108155782636,112.4262793600192,3.7718145968337233,77,65,8,0x5cbdd09a292a2d4f375d2e06b1f584ee95712685
